curves|label
text[]|text

{a*x^3*y+x^3*z+x^2*y^2+x*z^3+y^4,a^2*x^3*y+x^3*z+x^2*y^2+x*z^3+y^4}|3.4.c_e_a
{a^2*x^3*y+x^3*z+a*x^2*y^2+x*z^3+y^4,a*x^3*y+x^3*z+a^2*x^2*y^2+x*z^3+y^4}|3.4.c_i_i
{x^4+a*x^3*y+x^2*y^2+x*z^3+y^4,x^4+a^2*x^3*y+x^2*y^2+x*z^3+y^4}|3.4.c_m_q
{y^2+a*x^2*y=x^7+a*x}|3.4.d_a_am
{a*x^3*y+x^3*z+x*z^3+y^4,a^2*x^3*y+x^3*z+x*z^3+y^4}|3.4.a_a_i
{x^3*y+x^3*z+x^2*y^2+x*z^3+y^4,x^3*y+x^3*z+a*x^2*y^2+x*z^3+y^4,a*x^3*y+x^3*z+a*x^2*y^2+x*z^3+y^4,x^3*y+x^3*z+a^2*x^2*y^2+x*z^3+y^4,a^2*x^3*y+x^3*z+a^2*x^2*y^2+x*z^3+y^4}|3.4.a_a_a
{a^2*x^4+x^2*y*z+a*x*y^3+x*z^3+y^4,a*x^4+x^2*y*z+a^2*x*y^3+x*z^3+y^4,a^2*x^4+a^2*x^3*z+a*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^3*z,a*x^4+a*x^3*z+a^2*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^3*z,x^4+a*x^3*y+a^2*x^3*z+a^2*x^2*y*z+a*x*y^3+x*y^2*z+x*y*z^2+x*z^3+y^2*z^2,a^2*x^3*y+a^2*x^3*z+a^2*x^2*y*z+a*x*y^3+x*y^2*z+x*y*z^2+x*z^3+y^2*z^2,a*x^3*y+a*x^3*z+a*x^2*y*z+a^2*x*y^3+x*y^2*z+x*y*z^2+x*z^3+y^2*z^2,x^4+a^2*x^3*y+a*x^3*z+a*x^2*y*z+a^2*x*y^3+x*y^2*z+x*y*z^2+x*z^3+y^2*z^2,y^2+((a+1)*x^4+a*x)*y=1,y^2+((a+1)*x^4+a*x)*y=x+a+1,y^2+((a+1)*x^4+a*x)*y=x^3+(a+1)*x+1,y^2+(x^4+a*x)*y=1,y^2+(x^4+a*x)*y=x+1,y^2+(x^4+a*x)*y=x^3+x+1}|3.4.a_a_ab
{x^4+a^2*x^3*y+a*x^3*z+a*x^2*y^2+x^2*y*z+x*z^3+y^3*z,x^4+a*x^3*y+a^2*x^3*z+a^2*x^2*y^2+x^2*y*z+x*z^3+y^3*z,a^2*x^4+x^3*z+a*x^2*y^2+a*x^2*y*z+x^2*z^2+x*y*z^2+x*z^3+y^3*z,a*x^4+x^3*z+a^2*x^2*y^2+a^2*x^2*y*z+x^2*z^2+x*y*z^2+x*z^3+y^3*z,a^2*x^3*y+x^3*z+x^2*y*z+a*x*y^3+x*z^3+y^2*z^2,a*x^3*y+x^3*z+a^2*x^2*y*z+a*x*y^3+x*z^3+y^2*z^2,y^2+(a*x^4+a*x^3+a*x)*y=x^8+x^3+a*x^2+x,y^2+(a*x^4+a*x^3+a*x)*y=x^8+x^3+a*x^2+a*x,y^2+(a*x^4+a*x^3+a*x)*y=x^8+a*x^3+x^2+x,y^2+(a*x^4+a*x^3+a*x)*y=x^8+a*x^3+x^2+a*x}|3.4.a_a_ad
{x^3*y+x^3*z+x^2*y^2+x^2*y*z+a*x^2*z^2+x*y*z^2+x*z^3+y^3*z,x^3*y+x^3*z+x^2*y^2+x^2*y*z+a^2*x^2*z^2+x*y*z^2+x*z^3+y^3*z,y^2+a*x^4*y=(a+1)*x^2+x+1,y^2+a*x^4*y=(a+1)*x^2+x+a+1}|3.4.a_a_ae
{a*x^4+x^3*z+a*x^2*y*z+x*y^3+x*y^2*z+x*z^3+y^4,a^2*x^4+x^3*z+a^2*x^2*y*z+x*y^3+x*y^2*z+x*z^3+y^4,a*x^3*z+a*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a^2*x^4+a*x^3*z+a*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a^2*x^3*z+a^2*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a*x^4+a^2*x^3*z+a^2*x^2*y^2+x*y*z^2+x*z^3+y^3*z,x^4+x^3*z+a*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z,x^4+x^3*z+a^2*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z,y^2+((a+1)*x^4+a*x)*y=x^3+a+1,y^2+(x^4+a*x)*y=x^3+a,y^2+(a*x^4+a*x^3+a*x)*y=x^8+(a+1)*x^2+1,y^2+(a*x^4+a*x^3+a*x)*y=x^8+(a+1)*x^3+a}|3.4.a_a_af
{a^2*x^4+x^3*y+a^2*x^3*z+a*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a*x^4+x^3*y+a*x^3*z+a^2*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a^2*x^4+a*x^3*y+x^3*z+x^2*y^2+x^2*y*z+a*x^2*z^2+x*y*z^2+x*z^3+y^3*z,a^2*x^4+a*x^3*y+x^3*z+a^2*x^2*y^2+a^2*x^2*y*z+a*x^2*z^2+x*y*z^2+x*z^3+y^3*z,a*x^4+a^2*x^3*y+x^3*z+x^2*y^2+x^2*y*z+a^2*x^2*z^2+x*y*z^2+x*z^3+y^3*z,a*x^4+a^2*x^3*y+x^3*z+a*x^2*y^2+a*x^2*y*z+a^2*x^2*z^2+x*y*z^2+x*z^3+y^3*z,y^2+((a+1)*x^4+a*x)*y=x^8+x^3+a*x^2+(a+1)*x,y^2+(x^4+a*x)*y=a*x^8+x^3+x^2+x,y^2+(a*x^4+a*x^3+a*x)*y=x^3+x^2+x+1,y^2+(a*x^4+a*x^3+a*x)*y=a*x^3+a*x^2+a*x+a}|3.4.a_a_ah
{a*x^3*y+x*z^3+y^4,a^2*x^3*y+x*z^3+y^4}|3.4.a_a_ai
{a^2*x^4+x^3*y+a*x^3*z+a*x^2*y*z+x*y^3+x*y^2*z+x*z^3+y^4,a*x^4+x^3*y+a^2*x^3*z+a^2*x^2*y*z+x*y^3+x*y^2*z+x*z^3+y^4,x^3*y+x*z^3+y^3*z,y^2+(a*x^4+a*x^3+a*x)*y=x,y^2+(a*x^4+a*x^3+a*x)*y=a*x,y^2+(a*x^4+a*x^3+a*x)*y=(a+1)*x^3+(a+1)*x,y^2+(a*x^4+a*x^3+a*x)*y=x^8+1,y^2+(a*x^4+a*x^3+a*x)*y=x^8+a,y^2+(a*x^4+a*x^3+a*x)*y=x^8+(a+1)*x^3+(a+1)*x^2+1,y^2+(a*x^4+a*x^3+a*x)*y=x^8+(a+1)*x^3+(a+1)*x^2+a}|3.4.a_a_aj
{a*x^3*z+x^2*y^2+a*x^2*z^2+x*y*z^2+x*z^3+y^3*z,a^2*x^3*z+x^2*y^2+a^2*x^2*z^2+x*y*z^2+x*z^3+y^3*z,y^2+((a+1)*x^4+a*x)*y=x^8+x^3+a*x^2+a*x+a+1,y^2+(x^4+a*x)*y=a*x^8+x^3+x^2+a*x+a,y^2+(a*x^4+a*x^3+a*x)*y=x^3+a*x^2+(a+1)*x+a,y^2+(a*x^4+a*x^3+a*x)*y=a*x^3+x^2+(a+1)*x+1}|3.4.a_a_al
{y^2+a*x^4*y=x^3+(a+1)*x^2+x+1}|3.4.a_a_am
{y^2+(a*x^4+a*x^3+a*x)*y=x^8+x^3+x^2+(a+1)*x}|3.4.a_a_ap
{a*x^3*y+x^2*y*z+a*x*y^3+x*z^3+y^4,a^2*x^3*y+x^2*y*z+a^2*x*y^3+x*z^3+y^4,a*x^4+x^3*y+a^2*x^3*z+a*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a^2*x^4+x^3*y+a*x^3*z+a^2*x^2*y^2+x*y*z^2+x*z^3+y^3*z,a^2*x^4+a*x^3*y+x^3*z+a*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z,a*x^4+a^2*x^3*y+x^3*z+a^2*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z,y^2+((a+1)*x^4+a*x)*y=x^8+a*x^2+1,y^2+((a+1)*x^4+a*x)*y=x^8+a*x^2+x+a+1,y^2+((a+1)*x^4+a*x)*y=x^8+x^3+a*x^2+(a+1)*x+1,y^2+(x^4+a*x)*y=a*x^8+x^2+1,y^2+(x^4+a*x)*y=a*x^8+x^2+x+1,y^2+(x^4+a*x)*y=a*x^8+x^3+x^2+x+1}|3.4.a_a_b
