curves|label
{x^3*y+x^2*y^2+x^2*y*z+x*z^3+y^3*z=0,2*x^3*y+x^3*z+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_ab_d
{y^2=2*x^8+2*x^6+x^5+2*x^4+2*x^3+2*x^2+2*x+1,y^2=2*x^8+x^6+2*x^4+x^3+x,y^2=x^8+2*x^7+x^6+x^5+x^3+2*x^2+x,x^3*y+2*x^3*z+2*x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*z+x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^4+2*x^3*y+2*x^3*z+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ab_e
{2*x^4+x^3*y+2*x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_ac_b
{x^4+x^3*y+2*x^2*z^2+2*x*y^2*z+x*z^3+y^4=0,x^4+x^2*y^2+x^2*y*z+x*z^3+y^3*z=0,x^3*y+x^2*y*z+x^2*z^2+x*z^3+y^3*z=0,x^3*z+2*x^2*y^2+2*x^2*y*z+x^2*z^2+x*z^3+y^3*z=0}|3.3.a_ab_g
{x^3*y+2*x^3*z+2*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+2*x^3*z+x^2*y^2+2*x^2*y*z+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ac_ab
{y^2=2*x^8+x^7+2*x^5+x^4+x^3+2*x^2+2*x+1,x^4+x^3*y+x*y*z^2+x*z^3+y^4=0}|3.3.a_ac_ac
{y^2=x^8+2*x^7+x^5+2*x^4+2*x^3+x^2+x+2,x^4+x^3*y+2*x^3*z+x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0}|3.3.a_ac_c
{x^4+x^3*y+2*x^3*z+x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ac_d
{y^2=x^8+2*x^6+x^2+1,y^2=2*x^8+x^6+2*x^2+2,y^2=x^8+2,y^2=x^7+2*x^6+2*x^5+2*x^3+x^2+x,y^2=2*x^7+2*x^6+x^5+x^4+x+1,y^2=x^7+x^6+2*x^5+2*x^4+2*x+2,x^3*y+x^3*z+2*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^4=0}|3.3.a_b_a
{y^2=2*x^8+2*x^6+2*x^4+2*x^3+2*x^2+1}|3.3.a_b_ab
{y^2=2*x^8+2*x^7+2*x^5+x^4+2*x^3+2*x^2+2*x+1,y^2=x^8+2*x^7+x^5+x^4+2*x^2+2*x+2,x^4+x^3*y+2*x^3*z+x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0,x^4+2*x^3*z+2*x^2*y^2+2*x^2*y*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_b_ac
{y^2=2*x^8+2*x^7+2*x^6+2*x^5+2*x^4+2*x^3+2*x^2+2}|3.3.a_b_ad
{y^2=2*x^8+2*x^7+2*x^6+2*x^4+2*x^2+2*x+1,y^2=2*x^8+2*x^7+2*x^6+x^5+x^2+2*x+1,y^2=x^7+x^6+x^3+2*x^2+2*x+2,y^2=x^8+x^7+x^5+2*x^3+x+2,y^2=x^8+x^6+2*x^5+2*x^2+x+2,x^4+x^3*y+x^3*z+x^2*y^2+x*y*z^2+x*z^3+y^4=0}|3.3.a_b_ae
{y^2=2*x^8+2*x^7+2*x^6+x^2+x+2}|3.3.a_b_ag
{y^2=x^8+x^4+2*x^2+1,y^2=x^7+x^6+2*x^5+x^4+x^3+x^2+2*x}|3.3.a_b_ai
{y^2=x^8+x^6+x^4+x^3+x^2+2,2*x^4+x^3*y+2*x^3*z+x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0,x^4+x^3*y+2*x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0,x^4+2*x^3*y+2*x^3*z+2*x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_b_b
{y^2=x^8+x^7+x^5+2*x^4+x^3+x^2+x+2,y^2=2*x^8+x^7+2*x^5+2*x^4+x^2+x+1,x^4+x^3*y+2*x^3*z+2*x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^3*y+2*x^3*z+x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,2*x^4+x^3*y+x^3*z+x^2*y^2+x*y^3+x*z^3+y^2*z^2=0,2*x^4+x^3*z+2*x^2*y^2+2*x^2*y*z+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_b_c
{y^2=x^8+x^7+x^6+x^5+x^4+x^3+x^2+1,2*x^4+2*x^3*y+2*x^3*z+x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,x^3*y+x^3*z+2*x^2*y^2+x^2*y*z+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_b_d
{y^2=x^8+x^7+x^6+x^4+x^2+x+2,y^2=x^8+x^7+x^6+2*x^5+2*x^2+x+2,y^2=2*x^7+2*x^6+2*x^3+x^2+x+1,y^2=2*x^8+2*x^7+2*x^5+x^3+2*x+1,y^2=2*x^8+2*x^6+x^5+x^2+2*x+1,x^4+x^3*y+2*x^3*z+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+2*x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+2*x^3*y+x^3*z+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^4+x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^3*y+2*x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^4+2*x^3*z+2*x^2*y^2+2*x^2*y*z+x*y*z^2+x*z^3+y^3*z=0,x^3*z+x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,2*x^4+x^3*z+2*x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_b_e
{2*x^4+x^3*y+2*x^3*z+x^2*y^2+x*y*z^2+x*z^3+y^3*z=0,2*x^3*y+x^3*z+2*x^2*y^2+2*x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,2*x^4+x^3*y+2*x^3*z+2*x^2*y^2+2*x^2*z^2+x*z^3+y^4+y^2*z^2=0}|3.3.a_b_f
{y^2=x^8+x^7+x^6+2*x^2+2*x+1,x^3*y+x^3*z+2*x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0,2*x^4+x^3*y+2*x^3*z+x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_b_g
{2*x^4+x^3*z+2*x^2*y^2+2*x^2*y*z+x*y*z^2+x*z^3+y^3*z=0,2*x^4+2*x^3*y+2*x^3*z+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_b_h
{2*x^4+x^3*y+x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_c_b
{y^2=2*x^8+2*x^4+x^2+2,y^2=2*x^7+2*x^6+x^5+2*x^4+2*x^3+2*x^2+x,2*x^4+x^3*y+x^3*z+2*x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,2*x^4+x^3*z+x^2*y^2+x*y^3+x*z^3+y^2*z^2=0,x^4+2*x^3*y+2*x^3*z+x^2*y^2+x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_b_i
{y^2=x^8+x^7+2*x^5+x^4+2*x^3+2*x^2+x+2,y^2=2*x^8+2*x^7+x^5+2*x^4+x^3+x^2+2*x+1,x^3*y+x*y^2*z+x*z^3+y^4=0,x^4+x^3*y+2*x^3*z+x^2*z^2+x*y^2*z+x*z^3+y^4=0,x^4+2*x^3*y+2*x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_c_a
{2*x^4+x^3*y+x^3*z+2*x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,2*x^4+x^3*y+x^3*z+2*x^2*y^2+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_c_ab
{y^2=2*x^7+x^5+2*x^4+x^3+x^2+x+2,y^2=x^7+x^6+2*x^5+2*x^3+2*x^2+2*x+2,2*x^4+x^3*y+2*x^3*z+2*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^4+2*x^3*y+x^3*z+2*x^2*y^2+2*x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_c_ac
{2*x^4+x^3*y+x^2*y*z+x^2*z^2+x*z^3+y^3*z=0,2*x^4+x^3*z+2*x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,x^3*z+x^2*y^2+2*x^2*y*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_c_ad
{y^2=x^8+2*x^7+2*x^5+x^4+x^3+2*x^2+2*x,y^2=2*x^8+x^7+x^6+x^4+2*x^3+x^2+x+1,y^2=x^8+x^6+2*x^5+2*x^2+x+1,y^2=x^7+2*x^5+2*x+2}|3.3.a_c_ae
{y^2=2*x^8+x^5+2*x^3+2,y^2=2*x^7+2*x^6+x^2+1,2*x^4+2*x^2*z^2+2*x*y^2*z+x*z^3+y^4=0}|3.3.a_c_ag
{y^2=x^7+2*x^5+x^4+2*x^3+2*x^2+2*x+1,y^2=2*x^7+2*x^6+x^5+x^3+x^2+x+1,x^3*y+x^3*z+2*x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+2*x^3*y+2*x^3*z+2*x^2*y^2+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_c_c
{x^4+x^3*y+2*x^2*y^2+2*x^2*z^2+x*z^3+y^4=0,2*x^4+x^3*y+2*x^3*z+x^2*z^2+x*y^2*z+x*z^3+y^4=0,x^3*y+2*x^3*z+x^2*z^2+2*x*y^2*z+x*z^3+y^4=0,x^3*y+2*x^2*z^2+2*x*y^2*z+x*z^3+y^4=0,x^3*y+2*x^2*y^2+x*y*z^2+x*z^3+y^4=0,2*x^4+2*x^2*y^2+2*x^2*y*z+x^2*z^2+x*z^3+y^3*z=0,2*x^4+x^3*z+2*x^2*y^2+2*x^2*y*z+x^2*z^2+x*z^3+y^3*z=0,2*x^4+2*x^3*z+2*x^2*y^2+2*x^2*y*z+x^2*z^2+x*z^3+y^3*z=0,2*x^3*z+x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0}|3.3.a_c_d
{y^2=2*x^8+x^7+x^5+2*x^4+2*x^3+x^2+x,y^2=x^8+2*x^7+2*x^6+2*x^4+x^3+2*x^2+2*x+2,y^2=2*x^8+2*x^6+x^5+x^2+2*x+2,y^2=2*x^7+x^5+x+1,2*x^4+2*x^3*z+2*x^2*y^2+x^2*y*z+x*y^3+x*z^3+y^2*z^2=0,2*x^4+x^3*z+2*x^2*y^2+x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_c_e
{x^4+x^3*y+x^3*z+2*x^2*y^2+x^2*y*z+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,x^3*z+x^2*y^2+2*x^2*y*z+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_c_f
{y^2=2*x^8+2*x^7+2*x^4+x^3+x^2+2}|3.3.a_f_b
{y^2=x^8+2*x^5+x^3+1,y^2=x^7+x^6+2*x^2+2,x^3*y+2*x^2*y^2+x^2*z^2+x*z^3+y^4=0,2*x^4+2*x^2*y^2+2*x^2*z^2+x*z^3+y^4=0,x^4+2*x^3*y+x^2*y*z+x^2*z^2+x*z^3+y^3*z=0}|3.3.a_c_g
{x^3*y+x^3*z+x^2*y^2+x*y*z^2+x*z^3+y^4=0}|3.3.a_c_h
{y^2=x^8+x^7+x^6+2*x^2+x+2,y^2=x^7+x^5+2*x^4+2*x^3+x^2+2,y^2=x^8+x^7+2*x^6+x^2+2,y^2=2*x^8+2*x^7+x^6+2*x^2+1,y^2=x^8+x^7+x^5+x^4+x^3+2*x^2+2*x+2,y^2=2*x^8+2*x^7+2*x^5+2*x^4+2*x^3+x^2+x+1,x^3*z+x^2*y^2+x*z^3+y^4=0,x^3*z+2*x^2*y^2+x*z^3+y^4=0,2*x^4+x^3*y+x*z^3+y^3*z=0,x^4+x^3*y+2*x^3*z+2*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0,x^3*z+2*x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_d_a
{y^2=x^8+x^6+x^5+x^4+x^2+x+2}|3.3.a_d_ab
{y^2=2*x^8+2*x^7+2*x^6+x^5+2*x^3+x^2+2*x+1,y^2=2*x^8+x^7+2*x^6+x^5+x^4+1,x^4+2*x^3*y+x^3*z+2*x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0}|3.3.a_d_ac
{y^2=x^8+x^6+2*x^5+2*x^2+2,x^4+x^3*y+2*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_d_ad
{y^2=x^8+2*x^7+2*x^5+2*x^4+2*x^3+x^2+1,y^2=2*x^8+2*x^7+x^6+2*x^5+2*x^4+2*x^3+2*x,y^2=x^8+x^7+2*x^5+x^3+2*x+1,2*x^4+x^3*z+2*x*y^2*z+x*z^3+y^4=0,2*x^4+2*x^3*y+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*z+x^2*y^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_d_ae
{y^2=2*x^8+2*x^6+2*x^5+2*x^4+2*x^2+2*x+1,x^4+x^3*y+x^2*z^2+x*z^3+y^4+y^2*z^2=0,2*x^4+x^2*y*z+x^2*z^2+x*z^3+y^4+y^2*z^2=0}|3.3.a_d_b
{y^2=x^8+x^7+x^6+2*x^5+x^3+2*x^2+x+2,y^2=x^8+2*x^7+x^6+2*x^5+2*x^4+2,2*x^4+x^3*y+x^3*z+x*y*z^2+x*z^3+y^4=0,x^3*z+x^2*y^2+2*x*y^2*z+x*z^3+y^3*z=0,2*x^4+x^3*y+x^3*z+x^2*y^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_d_c
{y^2=2*x^8+2*x^6+x^5+x^2+1,2*x^4+2*x^3*y+x^2*y^2+x*z^3+y^3*z=0}|3.3.a_d_d
{y^2=2*x^8+x^7+x^5+x^4+x^3+2*x^2+2,y^2=x^8+x^7+2*x^6+x^5+x^4+x^3+x,y^2=2*x^8+2*x^7+x^5+2*x^3+x+2,2*x^3*z+x^2*y*z+2*x^2*z^2+x*y^2*z+x*z^3+y^4=0,x^4+2*x^3*y+2*x^3*z+x^2*y^2+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,x^4+x^2*y^2+2*x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0,x^3*y+x^3*z+x^2*y^2+x^2*y*z+x^2*z^2+x*z^3+y^4+y^2*z^2=0}|3.3.a_d_e
{2*x^4+2*x^3*y+x^3*z+x^2*y^2+2*x*y^2*z+x*z^3+y^3*z=0,2*x^4+2*x^3*y+2*x^3*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_d_f
{y^2=x^8+2*x^7+2*x^6+2*x^5+2*x^3+x^2+2*x+2,y^2=x^8+x^5+x^3+2,y^2=2*x^8+2*x^7+2*x^6+x^5+2*x^3+x^2+x+1,y^2=x^7+2*x^6+x^4+x^3+2*x+2,2*x^4+x^3*y+x^3*z+x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0,x^3*z+x^2*y^2+x^2*y*z+x*z^3+y^4+y^2*z^2=0}|3.3.a_e_a
{2*x^4+x^3*y+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,2*x^4+x^3*y+x^3*z+x^2*y^2+x*y*z^2+x*z^3+y^3*z=0,x^4+x^3*y+x^2*y^2+x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0,x^3*z+x^2*y^2+x^2*y*z+x^2*z^2+x*z^3+y^4+y^2*z^2=0}|3.3.a_e_ab
{y^2=x^7+x^6+x^4+2*x^3+x^2+x+1,x^4+2*x^3*y+2*x^3*z+x^2*y^2+x^2*y*z+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_e_ac
{x^4+x^3*y+2*x^3*z+2*x^2*y^2+2*x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_e_ad
{y^2=2*x^8+2*x^6+2*x^4+2*x^2+1,y^2=x^8+x^6+2*x^4+1,y^2=2*x^8+x^7+x^5+1,2*x^4+x^3*z+2*x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,2*x^4+x^3*z+x^2*y^2+x*z^3+y^4+y^2*z^2=0}|3.3.a_e_ae
{x^4+x^3*y+x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*z+x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+2*x^3*y+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0}|3.3.a_e_b
{y^2=2*x^7+2*x^6+2*x^4+x^3+2*x^2+2*x+2,2*x^4+x^3*z+x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^3*y+x^3*z+x^2*y^2+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_e_c
{x^3*z+x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_e_d
