curves|label
text[]|text

{2*x^4+x^3*z+2*x^2*y^2+y^4+z^4=0}|3.3.ae_g_ag
{y^2=2*x^8+x^7+x^5+x^4+2*x^3+2*x+2}|3.3.ae_n_ay
{2*x^4+2*x^3*z+x^2*y^2+x*z^3+y^4=0,2*x^4+2*x^3*z+2*x^2*y^2+x*z^3+y^4=0}|3.3.ad_a_j
{x^4+2*x^3*z+2*x^2*y^2+x*z^3+y^4=0}|3.3.ad_j_as
{x^4+x^3*z+2*x^2*z^2+x*y^2*z+x*z^3+y^4=0}|3.3.ad_j_ao
{y^2=2*x^8+x^5+2*x^4+2*x^3+2}|3.3.ac_f_ae
{x^4+x^3*z+x*z^3+y^4+y^2*z^2=0}|3.3.ac_j_am
{2*x^4+x^2*y^2+x^2*z^2+x*z^3+y^4=0,x^4+2*x^2*z^2+x*y^2*z+x*z^3+y^4=0}|3.3.ab_b_g
{2*x^3*z+x*z^3+y^4=0}|3.3.a_ad_a
{2*x^4+x^3*z+2*x^2*z^2+x*y^2*z+x*z^3+y^4=0,x^4+2*x^3*y+2*x^3*z+x^2*y^2+2*x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_g_ac
{2*x^4+2*x^2*y^2+2*x^2*y*z+2*x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_g_c
{x^3*z+x*z^3+y^4=0}|3.3.a_j_a
{x^4+x^3*y+2*x*y^2*z+x*z^3+y^4=0}|3.3.b_e_j
{y^2=x^8+2*x^5+x^4+x^3+1,2*x^3*z+x*y^2*z+x*z^3+y^4=0}|3.3.c_f_e
{2*x^4+x^3*y+x^3*z+x*y^3+x*z^3+y^2*z^2=0}|3.3.c_j_m
{x^4+2*x^3*y+x^3*z+x^2*y^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.d_j_o
{x^4+2*x^3*z+x^2*y^2+x*z^3+y^4=0}|3.3.d_j_s
{y^2=x^8+2*x^7+2*x^5+2*x^4+x^3+x+1}|3.3.e_n_y
{2*x^3*z+2*x^2*y^2+x*z^3+y^4=0}|3.3.g_s_bk
{x^4+2*x^3*y+2*x^3*z+x^2*y*z+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ab_f
{x^4+2*x^3*z+x^2*y^2+2*x^2*y*z+x*y^3+x*z^3+y^4+y^2*z^2=0}|3.3.ac_g_aj
{2*x^4+x^3*y+2*x^2*y^2+2*x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.b_c_b
{y^2=2*x^8+2*x^7+2*x^6+2*x^5+2*x^4+2*x^2+x+1}|3.3.a_ab_ab
{x^4+x^3*z+x^2*y*z+x^2*z^2+x*z^3+y^4+y^2*z^2=0}|3.3.ab_h_af
{x^4+2*x^3*z+2*x^2*y^2+x^2*y*z+x^2*z^2+x*y^2*z+y^4+z^4=0}|3.3.ae_g_ah
{x^4+x^3*y+x^2*y^2+x*z^3+y^3*z=0}|3.3.a_a_ad
{y^2=x^7+2,y^2=2*x^7+1,y^2=x^7+x^5+x^3+2*x,y^2=x^8+2*x^7+2*x^6+x^5+2*x^4+2*x^3+2*x^2+2*x,x^3*y+x^3*z+x*z^3+y^4=0,2*x^3*z+x^2*y^2+x*z^3+y^4=0,x^3*z+x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+2*x^3*y+x^3*z+x^2*y*z+x*y^3+x*z^3+y^2*z^2=0,x^4+x^3*y+2*x^3*z+2*x^2*y^2+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_a_a
{2*x^4+x^2*y*z+2*x*y^2*z+x*z^3+y^4=0,2*x^4+x^3*y+x*y*z^2+x*z^3+y^4=0,2*x^4+x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+2*x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^3*z+x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_a_ab
{y^2=x^7+2*x^6+2*x^5+2*x^4+2*x^3+2*x^2+2*x,2*x^4+x^3*y+2*x^2*y^2+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_a_ac
{y^2=2*x^8+2*x^7+x^5+x^4+x^3+2*x^2+x+1,y^2=x^7+x^5+2*x^3+x+1,y^2=x^7+x^6+x^4+x^2+x+2,y^2=x^8+x^7+2*x^6+x^5+2*x^4+x^3+2*x^2+2*x,y^2=x^8+x^7+x^5+x^4+x^3+2*x^2+1}|3.3.a_a_ae
{y^2=2*x^8+x^7+x}|3.3.a_a_ag
{y^2=x^8+2*x^7+2*x^6+2*x^5+x^2+x}|3.3.a_a_ai
{x^3*y+x^3*z+2*x^2*z^2+x*y^2*z+x*z^3+y^4=0,2*x^4+2*x^3*y+2*x^3*z+x^2*y^2+x*y^3+x*z^3+y^2*z^2=0,x^4+2*x^3*y+x^3*z+x^2*y^2+x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_a_b
{y^2=2*x^7+x^6+x^5+x^4+x^3+x^2+x,x^4+x^3*y+2*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^3*z+2*x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_a_c
{2*x^4+x^3*y+x^3*z+x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+2*x^3*z+2*x^2*y^2+2*x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^3*y+x^2*y^2+x*z^3+y^3*z=0,x^3*y+2*x^2*y^2+x^2*y*z+x*y*z^2+x*z^3+y^3*z=0,x^4+x^3*y+x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_a_d
{y^2=x^8+x^7+2*x^5+2*x^4+2*x^3+x^2+2*x+2,y^2=2*x^7+2*x^5+x^3+2*x+2,y^2=2*x^7+2*x^6+2*x^4+2*x^2+2*x+1,y^2=2*x^8+2*x^7+x^6+2*x^5+x^4+2*x^3+x^2+x,y^2=2*x^8+2*x^7+2*x^5+2*x^4+2*x^3+x^2+2,2*x^4+x^3*y+2*x^3*z+x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+2*x^3*y+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,2*x^4+2*x^3*z+x^2*y^2+x*y^3+x*z^3+y^2*z^2=0,2*x^4+2*x^3*z+2*x^2*y^2+2*x^2*y*z+x*y^3+x*z^3+y^2*z^2=0,x^4+2*x^3*y+x^3*z+x^2*y^2+2*x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_a_e
{2*x^3*y+x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^4=0,x^4+2*x^3*y+x^3*z+2*x^2*y^2+2*x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_a_f
{y^2=x^8+2*x^7+2*x,x^4+x^3*y+2*x^3*z+2*x^2*y^2+x^2*z^2+x*y*z^2+x*z^3+y^4=0,2*x^4+x^3*y+x^2*y^2+x*z^3+y^3*z=0}|3.3.a_a_g
{2*x^4+x^3*y+x^3*z+2*x^2*y^2+x*y*z^2+x*z^3+y^4=0,2*x^4+2*x^3*y+x^2*z^2+x*y^2*z+x*z^3+y^3*z=0,2*x^4+x^3*y+2*x^3*z+2*x^2*y^2+x*y*z^2+x*z^3+y^3*z=0,2*x^3*y+x^3*z+x^2*y^2+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0,x^4+2*x^3*y+x^2*y^2+2*x^2*y*z+x^2*z^2+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_a_h
{y^2=2*x^8+x^7+x^6+x^5+2*x^2+2*x,x^4+x^3*z+2*x*y^2*z+x*z^3+y^4=0,2*x^4+x^3*y+x^2*y^2+x*y*z^2+x*z^3+y^4=0,x^4+x^3*y+x^3*z+x^2*y^2+2*x*y^2*z+x*z^3+y^3*z=0,x^4+2*x^3*z+x^2*y^2+x^2*z^2+2*x*y^2*z+x*z^3+y^3*z=0}|3.3.a_a_i
{x^3*y+2*x^3*z+2*x^2*y^2+x*z^3+y^4=0,x^4+2*x^3*y+x^3*z+2*x^2*y*z+x*y^3+x*z^3+y^2*z^2=0}|3.3.a_a_j
{y^2=2*x^7+2*x^5+2*x,y^2=x^8+x^7+x^6+x^5+2*x^3+2*x^2+x,x^4+x^3*y+2*x^2*y^2+x^2*z^2+x*z^3+y^4=0,x^3*y+2*x^2*y^2+2*x^2*z^2+x*z^3+y^4=0,x^4+x^3*y+x*y^2*z+x*z^3+y^4=0,2*x^4+x^3*y+2*x^3*z+x^2*z^2+2*x*y^2*z+x*z^3+y^4=0,2*x^4+2*x^3*y+2*x^3*z+x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ab_a
{x^3*y+x^2*y*z+x*z^3+y^3*z=0}|3.3.a_ab_ad
{y^2=x^8+x^6+2*x^5+x^4+x^3+x^2+x+2,y^2=x^8+2*x^6+x^4+2*x^3+2*x,y^2=2*x^8+x^7+2*x^6+2*x^5+2*x^3+x^2+2*x}|3.3.a_ab_ae
{y^2=x^8+x^7+x^6+x^5+x^4+x^2+2*x+2,x^3*y+x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ab_b
{x^4+x^3*y+2*x^2*y^2+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0,x^4+2*x^3*y+2*x^3*z+x^2*y^2+x^2*y*z+x*y^2*z+x*y*z^2+x*z^3+y^3*z=0}|3.3.a_ab_c
